"","TICKER","gvkey","permno","adate","qdate","public_date","CAPEI","bm","evm","pe_op_basic","pe_op_dil","pe_exi","pe_inc","ps","pcf","dpr","npm","opmbd","opmad","gpm","ptpm","cfm","roa","roe","roce","efftax","aftret_eq","aftret_invcapx","aftret_equity","pretret_noa","pretret_earnat","GProf","equity_invcap","debt_invcap","totdebt_invcap","capital_ratio","int_debt","int_totdebt","cash_lt","invt_act","rect_act","debt_at","debt_ebitda","short_debt","curr_debt","lt_debt","profit_lct","ocf_lct","cash_debt","fcf_ocf","lt_ppent","dltt_be","debt_assets","debt_capital","de_ratio","intcov","intcov_ratio","cash_ratio","quick_ratio","curr_ratio","cash_conversion","inv_turn","at_turn","rect_turn","pay_turn","sale_invcap","sale_equity","sale_nwc","rd_sale","adv_sale","staff_sale","accrual","ptb","PEG_trailing","divyield","cusip","gvkey_count","ticker_count","same_count"
"2902","CVBF","020019",20395,2020-12-31,2020-12-31,2021-04-30,19.404,0.759,10.678,16.57,16.57,16.315,16.315,6.038,15.575,0.553,0.371,0.627,0.627,0.921,0.523,0.369,0.023,0.089,0.119,0.29,0.089,0,0.089,NA,NA,0.03,0.949,0.051,0.261,0.051,NA,NA,0.161,NA,NA,0.038,1.843,0.806,NA,0.009,NA,NA,0.015,0.975,176.659,0.053,0.861,0.86,6.181,NA,NA,NA,NA,NA,NA,9.125,0.037,0.061,0.004,0.226,0.238,NA,0,0.009,0.251,-0.001,1.436,1.298,"3.39%","12660010",156,156,TRUE
"2903","CVBF","020019",20395,2020-12-31,2021-03-31,2021-05-31,20.443,0.673,9.572,14.986,14.986,14.787,14.787,6.299,19.262,0.483,0.424,0.702,0.702,0.993,0.597,0.404,0.025,0.103,0.133,0.29,0.103,0,0.103,NA,NA,0.033,0.941,0.059,0.286,0.059,NA,NA,0.144,NA,NA,0.043,1.8,0.793,NA,0.01,NA,NA,0.015,0.972,174.118,0.063,0.86,0.859,6.131,NA,NA,NA,NA,NA,NA,1.007,0.034,0.058,0,0.226,0.24,NA,0,0.009,0.251,0.003,1.492,1.019,"3.25%","12660010",156,156,TRUE
"2904","CVBF","020019",20395,2020-12-31,2021-03-31,2021-06-30,18.979,0.673,9.572,13.912,13.912,13.727,13.727,5.848,17.883,0.483,0.424,0.702,0.702,0.993,0.597,0.404,0.025,0.103,0.133,0.29,0.103,0,0.103,NA,NA,0.033,0.941,0.059,0.286,0.059,NA,NA,0.144,NA,NA,0.043,1.8,0.793,NA,0.01,NA,NA,0.015,0.972,174.118,0.063,0.86,0.859,6.131,NA,NA,NA,NA,NA,NA,1.007,0.034,0.058,0,0.226,0.24,NA,0,0.009,0.251,0.003,1.385,0.946,"3.50%","12660010",156,156,TRUE
"2905","CVBF","020019",20395,2021-12-31,2022-09-30,2022-12-31,20.209,0.531,10.934,16.297,16.297,16.613,16.613,6.845,13.768,0.468,0.412,0.691,0.673,0.974,0.575,0.432,0.022,0.106,0.123,0.286,0.106,0,0.106,NA,NA,0.031,0.943,0.057,0.317,0.057,NA,NA,0.076,NA,NA,0.041,1.855,0.821,NA,0.008,NA,NA,0.014,0.975,204.425,0.06,0.879,0.879,7.298,NA,NA,NA,NA,NA,238478,-11.45,0.032,0.063,0.001,0.247,0.262,NA,0,0.01,0.252,-0.003,1.916,4.725,"3.11%","12660010",156,156,TRUE
"2906","CVBF","020019",20395,2020-12-31,2021-06-30,2021-08-31,18.104,0.734,9.408,13.051,13.051,12.968,12.968,5.803,17.433,0.461,0.446,0.732,0.732,1.025,0.626,0.426,0.025,0.107,0.134,0.29,0.107,0,0.107,NA,NA,0.033,0.951,0.049,0.288,0.049,NA,NA,0.147,NA,NA,0.042,1.749,0.83,NA,0.008,NA,NA,0.015,0.966,179.392,0.052,0.862,0.861,6.268,NA,NA,NA,NA,NA,377476,-5.117,0.033,0.058,-0.001,0.225,0.236,NA,0,0.009,0.251,0.004,1.346,0.894,"3.54%","12660010",156,156,TRUE
"2907","CVBF","020019",20395,2020-12-31,2021-06-30,2021-09-30,18.063,0.734,9.408,13.058,13.058,12.975,12.975,5.789,17.393,0.461,0.446,0.732,0.732,1.025,0.626,0.426,0.025,0.107,0.134,0.29,0.107,0,0.107,NA,NA,0.033,0.951,0.049,0.288,0.049,NA,NA,0.147,NA,NA,0.042,1.749,0.83,NA,0.008,NA,NA,0.015,0.966,179.392,0.052,0.862,0.861,6.268,NA,NA,NA,NA,NA,377476,-5.117,0.033,0.058,-0.001,0.225,0.236,NA,0,0.009,0.251,0.004,1.343,0.895,"3.53%","12660010",156,156,TRUE
"2908","CVBF","020019",20395,2020-12-31,2021-06-30,2021-10-31,17.753,0.734,9.408,12.833,12.833,12.752,12.752,5.69,17.095,0.461,0.446,0.732,0.732,1.025,0.626,0.426,0.025,0.107,0.134,0.29,0.107,0,0.107,NA,NA,0.033,0.951,0.049,0.288,0.049,NA,NA,0.147,NA,NA,0.042,1.749,0.83,NA,0.008,NA,NA,0.015,0.966,179.392,0.052,0.862,0.861,6.268,NA,NA,NA,NA,NA,377476,-5.117,0.033,0.058,-0.001,0.225,0.236,NA,0,0.009,0.251,0.004,1.32,0.879,"3.60%","12660010",156,156,TRUE
"2909","CVBF","020019",20395,2009-12-31,2010-06-30,2010-09-30,12.059,0.667,15.996,11.379,11.379,12.729,12.729,2.066,8.889,0.735,0.186,0.416,0.39,0.641,0.261,0.212,0.024,0.117,0.066,0.267,0.103,0,0.112,NA,NA,0.037,0.379,0.621,0.937,0.621,NA,NA,0.054,NA,NA,0.24,10.082,0.337,NA,0.176,NA,NA,0.011,0.926,144.898,1.637,0.903,0.902,9.294,NA,NA,NA,NA,NA,NA,12.447,0.057,0.102,0.034,0.223,0.589,NA,0,0,0.161,-0.003,1.18,NA,"4.53%","12660010",156,156,TRUE
"2910","EGBN","111721",87318,2009-12-31,2010-03-31,2010-05-31,31.539,0.731,10.922,19.742,20.423,20.423,20.423,2.725,27.705,0.397,0.125,0.36,0.336,0.667,0.199,0.149,0.021,0.086,0.105,0.364,0.071,0,0.069,NA,NA,0.036,0.686,0.18,0.699,0.18,NA,NA,0.063,NA,NA,0.09,4.592,0.742,NA,0.026,NA,NA,0.005,0.833,169.632,0.263,0.895,0.894,8.5,NA,NA,NA,NA,NA,NA,4.052,0.054,0.07,0.022,0.423,0.516,NA,0,0.012,0.228,0.001,1.505,NA,NA,"26894810",156,156,TRUE
"2911","EGBN","111721",87318,2009-12-31,2009-12-31,2010-02-28,27.816,0.81,12.198,21.291,21.291,21.291,21.291,2.496,28.805,0,0.114,0.337,0.315,0.646,0.179,0.136,0.019,0.077,0.09,0.364,0.06,0,0.063,NA,NA,0.033,0.697,0.207,0.632,0.207,NA,NA,0.073,NA,NA,0.083,4.853,0.672,NA,0.03,NA,NA,0.005,0.79,174.774,0.298,0.896,0.895,8.587,NA,NA,NA,NA,NA,NA,6.317,0.055,0.07,0.027,0.386,0.487,NA,0,0.012,0.228,0.002,1.38,NA,NA,"26894810",156,156,TRUE
