"","TICKER","gvkey","public_date","bm","ptb","GProf","npm","capital_ratio","totdebt_invcap","cash_lt","short_debt","debt_assets","de_ratio","sale_equity","sale_invcap"
"376","AXP","001447",2016-03-31,0.283,3.085,0.062,0.15,0.649,0.854,0.164,0.22,0.872,6.309,1.666,0.556
"377","AXP","001447",2016-04-30,0.283,3.263,0.062,0.15,0.649,0.854,0.164,0.22,0.872,6.309,1.666,0.556
"378","AXP","001447",2016-05-31,0.355,3.017,0.063,0.143,0.692,0.771,0.164,0.103,0.866,6.461,1.674,0.516
"379","AXP","001447",2016-06-30,0.355,2.788,0.063,0.143,0.692,0.771,0.164,0.103,0.866,6.461,1.674,0.516
"380","AXP","001447",2016-07-31,0.355,2.873,0.063,0.143,0.692,0.771,0.164,0.103,0.866,6.461,1.674,0.516
"381","AXP","001447",2016-08-31,0.369,2.925,0.062,0.154,0.692,0.765,0.188,0.095,0.868,6.596,1.737,0.534
"382","AXP","001447",2013-05-31,0.26,4.312,0.062,0.132,0.737,0.826,0.183,0.107,0.874,6.943,1.769,0.465
"383","AXP","001447",2016-10-31,0.369,2.935,0.062,0.154,0.692,0.765,0.188,0.095,0.868,6.596,1.737,0.534
"384","AXP","001447",2013-07-31,0.26,4.126,0.062,0.132,0.737,0.826,0.183,0.107,0.874,6.943,1.769,0.465
"385","AXP","001447",2013-08-31,0.235,4.076,0.062,0.134,0.735,0.822,0.184,0.106,0.875,7.017,1.786,0.473
"386","AXP","001447",2017-01-31,0.358,3.326,0.061,0.149,0.689,0.762,0.201,0.095,0.869,6.615,1.764,0.549
"387","AXP","001447",2017-02-28,0.282,3.818,0.058,0.16,0.586,1.016,0.187,0.405,0.871,6.262,1.65,0.653
"388","AXP","001447",2013-11-30,0.238,4.783,0.063,0.135,0.732,0.818,0.179,0.105,0.875,7.008,1.811,0.485
"389","AXP","001447",2013-12-31,0.238,5.058,0.063,0.135,0.732,0.818,0.179,0.105,0.875,7.008,1.811,0.485
"390","AXP","001447",2017-05-31,0.296,3.285,0.055,0.14,0.682,0.797,0.214,0.144,0.869,6.615,1.777,0.565
"391","AXP","001447",2017-06-30,0.296,3.596,0.055,0.14,0.682,0.797,0.214,0.144,0.869,6.615,1.777,0.565
"392","AXP","001447",2017-07-31,0.296,3.599,0.055,0.14,0.682,0.797,0.214,0.144,0.869,6.615,1.777,0.565
"393","AXP","001447",2017-08-31,0.284,3.594,0.054,0.122,0.682,0.801,0.205,0.148,0.869,6.661,1.776,0.564
"394","AXP","001447",2014-05-31,0.21,4.849,0.067,0.157,0.725,0.809,0.163,0.105,0.872,6.809,1.809,0.498
"395","AXP","001447",2014-06-30,0.21,5.027,0.067,0.157,0.725,0.809,0.163,0.105,0.872,6.809,1.809,0.498
"396","AXP","001447",2017-11-30,0.268,4.022,0.053,0.125,0.687,0.802,0.199,0.143,0.872,6.836,1.815,0.568
"397","AXP","001447",2017-12-31,0.268,4.088,0.053,0.125,0.687,0.802,0.199,0.143,0.872,6.836,1.815,0.568
"398","AXP","001447",2018-01-31,0.268,4.092,0.053,0.125,0.687,0.802,0.199,0.143,0.872,6.836,1.815,0.568
"399","AXP","001447",2018-02-28,0.195,5.045,0.053,0.077,0.689,0.951,0.206,0.257,0.899,8.218,1.952,0.573
"400","AXP","001447",2018-03-31,0.195,4.826,0.053,0.077,0.689,0.951,0.206,0.257,0.899,8.218,1.952,0.573
"401","AXP","001447",2014-12-31,0.223,4.762,0.067,0.162,0.725,0.809,0.151,0.104,0.869,6.648,1.773,0.488
"402","AXP","001447",2018-05-31,0.244,4.312,0.056,0.078,0.711,0.793,0.2,0.104,0.885,7.698,2.006,0.58
"403","AXP","001447",2018-06-30,0.244,4.299,0.056,0.078,0.711,0.793,0.2,0.104,0.885,7.698,2.006,0.58
